,0
67,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=660
68,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=680
69,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=700
70,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=720
71,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=740
72,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=760
73,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=780
74,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=800
75,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=820
76,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=840
77,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=860
78,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=880
79,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=900
80,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=920
81,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=940
82,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=960
83,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=980
84,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=1000
85,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=1020
86,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=1040
87,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=1060
88,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=1080
89,https://www.yelp.com/biz/barcelona-wine-bar-washington?start=1100
90,https://www.yelp.com/biz/maxwell-park-washington
91,https://www.yelp.com/biz/proof-restaurant-washington
92,https://www.yelp.com/biz/proof-restaurant-washington?start=20
93,https://www.yelp.com/biz/proof-restaurant-washington?start=40
94,https://www.yelp.com/biz/proof-restaurant-washington?start=60
95,https://www.yelp.com/biz/proof-restaurant-washington?start=80
96,https://www.yelp.com/biz/proof-restaurant-washington?start=100
97,https://www.yelp.com/biz/proof-restaurant-washington?start=120
98,https://www.yelp.com/biz/proof-restaurant-washington?start=140
99,https://www.yelp.com/biz/proof-restaurant-washington?start=160
100,https://www.yelp.com/biz/proof-restaurant-washington?start=180
101,https://www.yelp.com/biz/proof-restaurant-washington?start=200
102,https://www.yelp.com/biz/proof-restaurant-washington?start=220
103,https://www.yelp.com/biz/proof-restaurant-washington?start=240
104,https://www.yelp.com/biz/proof-restaurant-washington?start=260
105,https://www.yelp.com/biz/proof-restaurant-washington?start=280
106,https://www.yelp.com/biz/proof-restaurant-washington?start=300
107,https://www.yelp.com/biz/proof-restaurant-washington?start=320
108,https://www.yelp.com/biz/proof-restaurant-washington?start=340
109,https://www.yelp.com/biz/proof-restaurant-washington?start=360
110,https://www.yelp.com/biz/proof-restaurant-washington?start=380
111,https://www.yelp.com/biz/proof-restaurant-washington?start=400
112,https://www.yelp.com/biz/proof-restaurant-washington?start=420
113,https://www.yelp.com/biz/proof-restaurant-washington?start=440
114,https://www.yelp.com/biz/proof-restaurant-washington?start=460
115,https://www.yelp.com/biz/proof-restaurant-washington?start=480
116,https://www.yelp.com/biz/proof-restaurant-washington?start=500
117,https://www.yelp.com/biz/proof-restaurant-washington?start=520
118,https://www.yelp.com/biz/proof-restaurant-washington?start=540
119,https://www.yelp.com/biz/proof-restaurant-washington?start=560
120,https://www.yelp.com/biz/proof-restaurant-washington?start=580
121,https://www.yelp.com/biz/proof-restaurant-washington?start=600
122,https://www.yelp.com/biz/proof-restaurant-washington?start=620
123,https://www.yelp.com/biz/proof-restaurant-washington?start=640
124,https://www.yelp.com/biz/proof-restaurant-washington?start=660
125,https://www.yelp.com/biz/proof-restaurant-washington?start=680
126,https://www.yelp.com/biz/proof-restaurant-washington?start=700
127,https://www.yelp.com/biz/proof-restaurant-washington?start=720
128,https://www.yelp.com/biz/proof-restaurant-washington?start=740
129,https://www.yelp.com/biz/proof-restaurant-washington?start=760
130,https://www.yelp.com/biz/proof-restaurant-washington?start=780
131,https://www.yelp.com/biz/proof-restaurant-washington?start=800
132,https://www.yelp.com/biz/proof-restaurant-washington?start=820
133,https://www.yelp.com/biz/proof-restaurant-washington?start=840
134,https://www.yelp.com/biz/proof-restaurant-washington?start=860
135,https://www.yelp.com/biz/tyber-creek-wine-bar-and-kitchen-washington-2
136,https://www.yelp.com/biz/tyber-creek-wine-bar-and-kitchen-washington-2?start=20
137,https://www.yelp.com/biz/tyber-creek-wine-bar-and-kitchen-washington-2?start=40
138,https://www.yelp.com/biz/cork-wine-bar-washington
139,https://www.yelp.com/biz/cork-wine-bar-washington?start=20
140,https://www.yelp.com/biz/cork-wine-bar-washington?start=40
141,https://www.yelp.com/biz/cork-wine-bar-washington?start=60
142,https://www.yelp.com/biz/cork-wine-bar-washington?start=80
143,https://www.yelp.com/biz/cork-wine-bar-washington?start=100
144,https://www.yelp.com/biz/cork-wine-bar-washington?start=120
145,https://www.yelp.com/biz/cork-wine-bar-washington?start=140
146,https://www.yelp.com/biz/cork-wine-bar-washington?start=160
147,https://www.yelp.com/biz/cork-wine-bar-washington?start=180
148,https://www.yelp.com/biz/cork-wine-bar-washington?start=200
149,https://www.yelp.com/biz/cork-wine-bar-washington?start=220
150,https://www.yelp.com/biz/cork-wine-bar-washington?start=240
151,https://www.yelp.com/biz/cork-wine-bar-washington?start=260
152,https://www.yelp.com/biz/cork-wine-bar-washington?start=280
153,https://www.yelp.com/biz/cork-wine-bar-washington?start=300
154,https://www.yelp.com/biz/cork-wine-bar-washington?start=320
155,https://www.yelp.com/biz/cork-wine-bar-washington?start=340
156,https://www.yelp.com/biz/cork-wine-bar-washington?start=360
157,https://www.yelp.com/biz/cork-wine-bar-washington?start=380
158,https://www.yelp.com/biz/cork-wine-bar-washington?start=400
159,https://www.yelp.com/biz/cork-wine-bar-washington?start=420
160,https://www.yelp.com/biz/ruta-del-vino-washington-2
161,https://www.yelp.com/biz/ruta-del-vino-washington-2?start=20
162,https://www.yelp.com/biz/ruta-del-vino-washington-2?start=40
163,https://www.yelp.com/biz/ruta-del-vino-washington-2?start=60
164,https://www.yelp.com/biz/jug-and-table-washington
165,https://www.yelp.com/biz/jug-and-table-washington?start=20
166,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3
167,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=20
168,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=40
169,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=60
170,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=80
171,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=100
172,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=120
173,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=140
174,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=160
175,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=180
176,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=200
177,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=220
178,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=240
179,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=260
180,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=280
181,https://www.yelp.com/biz/ezme-restaurant-and-wine-bar-washington-3?start=300
182,https://www.yelp.com/biz/bistrot-lepic-and-wine-bar-washington
183,https://www.yelp.com/biz/bistrot-lepic-and-wine-bar-washington?start=20
184,https://www.yelp.com/biz/bistrot-lepic-and-wine-bar-washington?start=40
185,https://www.yelp.com/biz/bistrot-lepic-and-wine-bar-washington?start=60
186,https://www.yelp.com/biz/bistrot-lepic-and-wine-bar-washington?start=80
187,https://www.yelp.com/biz/bistrot-lepic-and-wine-bar-washington?start=100
188,https://www.yelp.com/biz/bistrot-lepic-and-wine-bar-washington?start=120
189,https://www.yelp.com/biz/bistrot-lepic-and-wine-bar-washington?start=140
190,https://www.yelp.com/biz/bistrot-lepic-and-wine-bar-washington?start=160
191,https://www.yelp.com/biz/bistrot-lepic-and-wine-bar-washington?start=180
192,https://www.yelp.com/biz/barcelona-wine-bar-cathedral-heights-washington-2
193,https://www.yelp.com/biz/barcelona-wine-bar-cathedral-heights-washington-2?start=20
194,https://www.yelp.com/biz/barcelona-wine-bar-cathedral-heights-washington-2?start=40
195,https://www.yelp.com/biz/barcelona-wine-bar-cathedral-heights-washington-2?start=60
196,https://www.yelp.com/biz/barcelona-wine-bar-cathedral-heights-washington-2?start=80
197,https://www.yelp.com/biz/barcelona-wine-bar-cathedral-heights-washington-2?start=100
198,https://www.yelp.com/biz/barcelona-wine-bar-cathedral-heights-washington-2?start=120
199,https://www.yelp.com/biz/barcelona-wine-bar-cathedral-heights-washington-2?start=140
200,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington
201,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=20
202,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=40
203,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=60
204,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=80
205,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=100
206,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=120
207,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=140
208,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=160
209,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=180
210,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=200
211,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=220
212,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=240
213,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=260
214,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=280
215,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=300
216,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=320
217,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=340
218,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=360
219,https://www.yelp.com/biz/sonoma-restaurant-and-wine-bar-washington?start=380
220,https://www.yelp.com/biz/cacao-wine-bar-washington
221,https://www.yelp.com//biz/vinoteca-washington
222,https://www.yelp.com//biz/vinoteca-washington?start=20
223,https://www.yelp.com//biz/vinoteca-washington?start=40
224,https://www.yelp.com//biz/vinoteca-washington?start=60
225,https://www.yelp.com//biz/vinoteca-washington?start=80
226,https://www.yelp.com//biz/vinoteca-washington?start=100
227,https://www.yelp.com//biz/vinoteca-washington?start=120
228,https://www.yelp.com//biz/vinoteca-washington?start=140
229,https://www.yelp.com//biz/vinoteca-washington?start=160
230,https://www.yelp.com//biz/vinoteca-washington?start=180
231,https://www.yelp.com//biz/vinoteca-washington?start=200
232,https://www.yelp.com//biz/vinoteca-washington?start=220
233,https://www.yelp.com//biz/vinoteca-washington?start=240
234,https://www.yelp.com//biz/vinoteca-washington?start=260
235,https://www.yelp.com//biz/vinoteca-washington?start=280
236,https://www.yelp.com//biz/vinoteca-washington?start=300
237,https://www.yelp.com//biz/vinoteca-washington?start=320
238,https://www.yelp.com//biz/vinoteca-washington?start=340
239,https://www.yelp.com//biz/vinoteca-washington?start=360
240,https://www.yelp.com//biz/vinoteca-washington?start=380
241,https://www.yelp.com//biz/vinoteca-washington?start=400
242,https://www.yelp.com//biz/vinoteca-washington?start=420
243,https://www.yelp.com//biz/vinoteca-washington?start=440
244,https://www.yelp.com//biz/vinoteca-washington?start=460
245,https://www.yelp.com//biz/vinoteca-washington?start=480
246,https://www.yelp.com//biz/vinoteca-washington?start=500
247,https://www.yelp.com//biz/vinoteca-washington?start=520
248,https://www.yelp.com//biz/vinoteca-washington?start=540
249,https://www.yelp.com//biz/vinoteca-washington?start=560
250,https://www.yelp.com//biz/vinoteca-washington?start=580
251,https://www.yelp.com//biz/vinoteca-washington?start=600
252,https://www.yelp.com//biz/vinoteca-washington?start=620
253,https://www.yelp.com//biz/vinoteca-washington?start=640
254,https://www.yelp.com//biz/vinoteca-washington?start=660
255,https://www.yelp.com//biz/vinoteca-washington?start=680
256,https://www.yelp.com//biz/slate-wine-bar-bistro-washington
257,https://www.yelp.com//biz/slate-wine-bar-bistro-washington?start=20
258,https://www.yelp.com//biz/slate-wine-bar-bistro-washington?start=40
259,https://www.yelp.com//biz/slate-wine-bar-bistro-washington?start=60
260,https://www.yelp.com//biz/slate-wine-bar-bistro-washington?start=80
261,https://www.yelp.com//biz/slate-wine-bar-bistro-washington?start=100
262,https://www.yelp.com//biz/slate-wine-bar-bistro-washington?start=120
263,https://www.yelp.com//biz/slate-wine-bar-bistro-washington?start=140
264,https://www.yelp.com//biz/district-winery-washington
265,https://www.yelp.com//biz/district-winery-washington?start=20
266,https://www.yelp.com//biz/philos-mezze-wine-bar-washington
267,https://www.yelp.com//biz/philos-mezze-wine-bar-washington?start=20
268,https://www.yelp.com//biz/philos-mezze-wine-bar-washington?start=40
269,https://www.yelp.com//biz/philos-mezze-wine-bar-washington?start=60
270,https://www.yelp.com//biz/ana-at-district-winery-washington-2
271,https://www.yelp.com//biz/acacia-bistro-and-wine-bar-washington-2
272,https://www.yelp.com//biz/acacia-bistro-and-wine-bar-washington-2?start=20
273,https://www.yelp.com//biz/acacia-bistro-and-wine-bar-washington-2?start=40
274,https://www.yelp.com//biz/acacia-bistro-and-wine-bar-washington-2?start=60
275,https://www.yelp.com//biz/acacia-bistro-and-wine-bar-washington-2?start=80
276,https://www.yelp.com//biz/acacia-bistro-and-wine-bar-washington-2?start=100
277,https://www.yelp.com//biz/acacia-bistro-and-wine-bar-washington-2?start=120
278,https://www.yelp.com//biz/acacia-bistro-and-wine-bar-washington-2?start=140
